method,selection,dynmap,fold_dt,restricted_deformation,c3vd_keyframes,c3vd_frames,c3vd_wkf_percent,v2_keyframes,v2_frames,v2_wkf_percent,all25_keyframes,all25_frames,all25_wkf_percent,all25_macro_kf_percent,all25_processed_frame_ratio
EndoGSLAM,historical backbone,False,False,False,655,5810,11.273666092943202,548,4865,11.264131551901336,1203,10675,11.269320843091334,11.433489944328192,12.864934231632981
KFS4LAM_EndoGSLAM,historical Endo v4d,True,True,False,637,5810,10.963855421686747,538,4865,11.05858170606372,1175,10675,11.007025761124122,11.064256871951445,12.565501015934124
SplaTAM,native fixed8,False,False,False,747,5810,12.857142857142858,624,4865,12.826310380267214,1371,10675,12.843091334894613,12.997817233346868,12.843091334894613
SplaTAM + DynMap,native fixed8,True,False,False,747,5810,12.857142857142858,624,4865,12.826310380267214,1371,10675,12.843091334894613,12.997817233346868,12.843091334894613
SplaTAM + Structure-Guided,native fixed8,True,True,False,747,5810,12.857142857142858,624,4865,12.826310380267214,1371,10675,12.843091334894613,12.997817233346868,12.843091334894613
SplaTAM + Motion-Guided,accumulated motion + veto,True,False,False,717,5810,12.3407917383821,600,4865,12.332990750256938,1317,10675,12.337236533957846,12.427357966963744,12.337236533957846
SplaTAM + Motion-and-Structure-Guided,accumulated motion + veto,True,True,False,717,5810,12.3407917383821,599,4865,12.312435765673175,1316,10675,12.327868852459016,12.410266089884956,12.327868852459016
SplaTAM + Motion Proposal Only,accumulated motion WITHOUT veto,True,False,False,720,5810,12.392426850258175,624,4865,12.826310380267214,1344,10675,12.59016393442623,12.669888204442822,12.59016393442623
SplaTAM + Structure-Guided + Deformation,native fixed8,True,True,True,747,5810,12.857142857142858,624,4865,12.826310380267214,1371,10675,12.843091334894613,12.997817233346868,12.843091334894613
SplaTAM + MonoGS KFS,adapted overlap + translation,False,False,False,341,5810,5.869191049913941,448,4865,9.20863309352518,789,10675,7.391100702576113,7.780436469823282,7.391100702576113
KFS⁴LAM (Ours),accumulated motion + veto,True,True,True,713,5810,12.271944922547332,604,4865,12.415210688591984,1317,10675,12.337236533957846,12.392605153952891,12.337236533957846
